first,second,third,fourth,fith,sixth,outlier
7.873352496171055,6.492782971035188,6.577814020854277,6.619454583855332,7.166982465318933,6.668065264846304,0.0
5.816038706187473,6.088944889966354,6.986071977463291,7.381049997090286,6.975607511101852,7.414345641576703,0.0
6.400637959575863,5.948095558303569,7.889819874878247,6.345771223567168,8.577173371739647,7.563852969038721,0.0
5.777066775421937,6.3719112597387175,7.44070370821186,7.170392061105289,7.390438619798703,7.093087321659286,0.0
6.450847315341332,7.77056998106061,6.8435891920246235,6.908178375522233,7.010392338291993,6.799603335480821,0.0
7.257273284851286,6.46551486883061,6.937485815426625,7.251560834127896,6.648211108587961,7.6993408115153645,0.0
8.324269581848348,6.74907042038315,6.576768671018754,6.811348140806357,7.056277178762364,8.540366825192038,0.0
6.43154834236972,5.389044284815743,6.943801683530199,5.99430112008559,5.191607173022014,6.866685089597632,0.0
7.511253521584307,8.117154255421896,6.788117589933849,6.528837067360525,7.487912201743907,7.3638034075610035,0.0
7.554636079238631,6.979232107951558,6.757917891964181,7.724353344767063,6.883225593685098,8.192066935896525,0.0
6.671517846108286,6.617405339749516,7.068051449402372,6.538838573149313,5.87200714189841,6.302091625619395,0.0
6.933114077979924,7.317142800864609,7.071373477329587,6.532099087248392,5.8908902650666315,7.271811907030436,0.0
6.868845396408169,5.604013593626077,6.04379406996526,7.210753377039958,7.582109348496814,6.638663463138709,0.0
7.122756079717538,6.5501778121882355,7.252394843545195,7.115539091647509,6.85681401834548,7.886780502517824,0.0
6.83065257431139,6.429805685351255,7.6983159009488045,6.575959154381616,7.169543207426436,6.782019661849447,0.0
7.596345583806485,7.232559738867176,7.4099409636313425,6.959749161251479,7.533787578390706,6.155786587568576,0.0
7.011106146285055,7.816593753571946,6.934074931074745,7.451750823715989,6.839718787673375,6.1384370962305415,0.0
7.226826103548207,6.742609713077187,6.992829552191993,6.4554219410195355,7.774703536244774,7.394556358714909,0.0
8.410511912009527,6.834888997070091,5.623871659593392,5.701753650605694,7.038682264702471,7.711176070057972,0.0
6.358179057395267,6.138771554348693,6.69204102411323,6.33471028045122,6.7073623962169115,6.960101774126667,0.0
7.36903046513421,5.879969249836521,7.931786005938335,7.039635347257373,6.234836527115948,6.4990205100772,0.0
7.111091197983297,7.939031706289276,7.565098073459678,6.007265669829626,7.154968158619684,6.330097171708309,0.0
7.619881267551225,7.0261450920030315,8.170289637204888,6.861349707230231,6.917677768143247,6.891853569106386,0.0
7.353541046800659,6.922550045823721,6.831601358829186,6.629319643194641,7.247872359842852,7.320801175013579,0.0
6.144446976552348,6.640962961504456,7.017959314924952,6.504258909272822,5.674298246458817,6.91901866921945,0.0
7.553494929672783,5.529418422325451,6.257765689796862,5.573291822344316,7.159673137101052,7.441639362375598,0.0
5.64712593390465,7.351872616810945,6.543771908798809,6.908190795248919,7.085446250211463,7.351852979975143,0.0
