Tom has two girlfriends.	Tom tiene dos novias.
It kept snowing all day.	Ha nevado todo el dia.
What's that boy's name?	¿Como se llama ese nino?
I was born in Kyoto.	Naci en Kioto.
Some people claim to know everything.	Algunos se atribuyen saberlo todo.
Does it look bad?	¿Se ve mal?
It won't be long before we can travel to Mars.	No tardara mucho para que podamos viajar a Marte.
What's the weather like in New York?	¿Como es el clima en Nueva York?
Send it by mail.	Envialo por correo.
You don't need to call me.	No necesitas telefonearme.
The team won the semifinals and advanced to the finals.	El equipo gano las semifinales y avanzo a la final.
I always drive at a moderate speed.	Siempre manejo a una velocidad moderada.
I'm sure Tom won't mind.	Estoy seguro de que a Tom no le importara.
Do you have a house in Italy?	¿Tienes una casa en Italia?
Even if I have to sell my house, I'll keep my business going.	Voy a mantener mi negocio andando aun si tengo que vender mi casa.
Tom got better very quickly.	Tom se recupero muy rapido.
Please do not open the windows.	No abra las ventanas, por favor.
There's a long line at every cash register.	Hay una larga cola en cada una de las cajas registradoras.
Why not?	¿Por que no?
Tom bumped into a Mary on his way to school.	Tom se topo con una Maria de camino a la escuela.
Things usually take longer than you expect.	Las cosas usualmente toman mas tiempo de lo que esperas.
Thanks for that.	Gracias por eso.
I'll go to London.	Ire a Londres.
The dictator came to power fifteen years ago.	El dictador llego al poder hace quince anos.
That's an exact measurement.	Eso es una medida exacta.
I need nine hours of sleep.	Necesito nueve horas de sueno.
I've been waiting a long time for this.	Estuve esperando mucho tiempo por esto.
Do you know which way to take?	¿Sabes que camino tomar?
Find out what hotel they're living at.	Enterese del hotel en que viven.
We're not supposed to be here.	Se supone que no debemos estar aqui.
Tom is just an amateur.	Tom es solo un amateur.
The USA dropped an atomic bomb on Hiroshima in 1945.	Los Estados Unidos lanzaron una bomba atomica sobre Hiroshima en 1945.
These shoes are big enough for me.	Esos zapatos son suficientemente grandes para mi.
Where did you learn French?	¿Donde aprendieron frances?
Will you look after my dog while I'm out?	¿Cuidaras a mi perro mientras estoy fuera de casa?
Please speak in a louder voice.	Por favor hable mas alto.
He wanted to see a bullfight, but his father wouldn't let him go.	El queria ir a ver una corrida de toros, pero su padre no le dejaba.
They keep their jewelry in the safe.	Guardan sus alhajas en la caja fuerte.
I felt sympathy for him.	Senti simpatia hacia el.
Let's get a picture of us together.	Saquemonos una foto juntos.
Please pass me the salt.	Por favor, pasame la sal.
I have got to go now.	Ahora me tengo que ir.
Tom told Mary that he couldn't live without her.	Tom le dijo a Mary que el no podia vivir sin ella.
How do you plan to get home?	¿Como tienes pensado llegar a casa?
You're soaking wet.	Estas empapada.
Tom hasn't been living here long.	Tom no ha vivido aqui por mucho tiempo.
This food is too salty.	Esta comida esta muy salada.
Tom decided.	Tom decidio.
I assumed you were happy.	Asumi que eras feliz.
A whale is a mammal.	Las ballenas son mamiferos.
I know I should stay a little bit longer.	Se que deberia quedarme un rato mas.
I don't mind in the slightest who he is.	No me importa en lo mas minimo quien es el.
Don't disturb me while I'm studying.	No me molestes cuando estoy estudiando.
He said it didn't matter whether we stayed or left.	Dijo que no importaba si nos quedabamos o nos ibamos.
The old man stopped suddenly and looked back.	El anciano se paro de repente y miro hacia atras.
Here comes the bus.	Aqui viene el autobus.
I can't give up smoking.	No puedo dejar de fumar.
That's a good question.	Esa es una buena pregunta.
I met her at the station by accident.	Accidentalmente me encontre con ella en la estacion.
He loves you very much.	El te quiere mucho.
There's no food left.	No queda comida.
He convinced me that it was not his fault.	El me convencio de que no era su culpa.
I need to talk to him.	Tengo que hablar con el.
When was it that Tom visited Mary in the hospital?	¿Cuando fue que Tom visito a Mary en el hospital?
I've got a feeling something's gone wrong.	Tengo el presentimiento de que algo ha salido mal.
I know all their names.	Conozco todos sus nombres.
Tom first came to Boston three years ago.	Tom vino por primera vez a Boston hace tres anos.
I am afraid your plan will not work.	Me temo que tu plan no funcionara.
I thought you were going to quit.	Pense que ibas a renunciar.
She invited her friends to dinner.	Ella invito a sus amigos a cenar.
We waited in the movie theater for the film to start.	Esperamos en el cine a que empezara la pelicula.
