Tom has two girlfriends.	Tom tiene dos novias.
It kept snowing all day.	Ha nevado todo el dia.
What's that boy's name?	¿Como se llama ese nino?
I was born in Kyoto.	Naci en Kioto.
Some people claim to know everything.	Algunos se atribuyen saberlo todo.
Does it look bad?	¿Se ve mal?
It won't be long before we can travel to Mars.	No tardara mucho para que podamos viajar a Marte.
What's the weather like in New York?	¿Como es el clima en Nueva York?
Send it by mail.	Envialo por correo.
You don't need to call me.	No necesitas telefonearme.
The team won the semifinals and advanced to the finals.	El equipo gano las semifinales y avanzo a la final.
I always drive at a moderate speed.	Siempre manejo a una velocidad moderada.
I'm sure Tom won't mind.	Estoy seguro de que a Tom no le importara.
Do you have a house in Italy?	¿Tienes una casa en Italia?
Even if I have to sell my house, I'll keep my business going.	Voy a mantener mi negocio andando aun si tengo que vender mi casa.
Tom got better very quickly.	Tom se recupero muy rapido.
Please do not open the windows.	No abra las ventanas, por favor.
There's a long line at every cash register.	Hay una larga cola en cada una de las cajas registradoras.
Why not?	¿Por que no?
Tom bumped into a Mary on his way to school.	Tom se topo con una Maria de camino a la escuela.
Things usually take longer than you expect.	Las cosas usualmente toman mas tiempo de lo que esperas.
Thanks for that.	Gracias por eso.
I'll go to London.	Ire a Londres.
The dictator came to power fifteen years ago.	El dictador llego al poder hace quince anos.
That's an exact measurement.	Eso es una medida exacta.
I need nine hours of sleep.	Necesito nueve horas de sueno.
I've been waiting a long time for this.	Estuve esperando mucho tiempo por esto.
Do you know which way to take?	¿Sabes que camino tomar?
Find out what hotel they're living at.	Enterese del hotel en que viven.
We're not supposed to be here.	Se supone que no debemos estar aqui.
Tom is just an amateur.	Tom es solo un amateur.
The USA dropped an atomic bomb on Hiroshima in 1945.	Los Estados Unidos lanzaron una bomba atomica sobre Hiroshima en 1945.
These shoes are big enough for me.	Esos zapatos son suficientemente grandes para mi.
Where did you learn French?	¿Donde aprendieron frances?
Will you look after my dog while I'm out?	¿Cuidaras a mi perro mientras estoy fuera de casa?
Please speak in a louder voice.	Por favor hable mas alto.
He wanted to see a bullfight, but his father wouldn't let him go.	El queria ir a ver una corrida de toros, pero su padre no le dejaba.
They keep their jewelry in the safe.	Guardan sus alhajas en la caja fuerte.
I felt sympathy for him.	Senti simpatia hacia el.
Let's get a picture of us together.	Saquemonos una foto juntos.
Please pass me the salt.	Por favor, pasame la sal.
I have got to go now.	Ahora me tengo que ir.
Tom told Mary that he couldn't live without her.	Tom le dijo a Mary que el no podia vivir sin ella.
How do you plan to get home?	¿Como tienes pensado llegar a casa?
You're soaking wet.	Estas empapada.
Tom hasn't been living here long.	Tom no ha vivido aqui por mucho tiempo.
This food is too salty.	Esta comida esta muy salada.
Tom decided.	Tom decidio.
I assumed you were happy.	Asumi que eras feliz.
A whale is a mammal.	Las ballenas son mamiferos.
If I had to say who is the best magician in the whole world I would doubt, it is due to the fact that a lot of magicians are really good doing their job.	Si tuviese que decir quien es el  mejor mago del mundo dudaría, esto se debe al hecho de que muchos magos son muy buenos haciendo su trabajo.
